num,type,x_coor,y_coor
58,2,7.60968340642873,-1.42149659832866
59,2,7.9750905618407,-2.7261923758349
60,2,8.54802041473498,-3.68009075055991
61,2,10.6601317831479,-5.23084300440234
62,2,12.1167992046948,-5.77254995615783
63,2,13.7805173778787,-6.17261534649334
64,2,17.6231089179688,-6.79114948102549
65,2,19.7388585053217,-7.18913620702706
66,2,21.8298950982966,-7.70159820373082
67,2,23.8771264994103,-8.31301696223576
68,2,25.8797524901441,-9.00938215804746
69,2,27.8385154732156,-9.77726113305095
70,2,33.4828656272925,-12.388525694689
71,2,35.3884273243004,-13.4149776838374
72,2,37.3243202944926,-14.6682383106842
73,2,39.1922962154652,-16.2493960759111
74,2,40.8455371260767,-18.2403341823979
75,2,42.0705518955054,-20.6153105774461
76,2,42.7346589897432,-23.1596769590206
77,2,42.5147079384368,-28.247846055385
78,2,41.753803677142,-30.6144579632713
79,2,39.1831183440142,-34.8167170198948
80,2,37.3770559671547,-36.5762176430613
81,2,35.2523671945937,-37.9984770098583
82,2,32.8791324240351,-38.993482644638
83,2,28.1270516052592,-39.715335638822
84,2,25.9046030197368,-39.6765956654354
85,2,23.8121031317075,-39.5240911796868
86,2,21.8464792201864,-39.3538830619781
87,2,19.9742827992146,-39.2418187116909
88,2,16.0937484438592,-39.1847191943436
89,2,11.9928246424488,-39.1219447460144
90,2,9.86352410414552,-38.9911216862446
91,2,7.69014987529461,-38.7364552625087
92,2,5.51782683234722,-38.3249002543397
93,2,3.42382206323132,-37.786979727176
94,2,1.40682879137184,-37.1663842455962
95,2,-0.541821138011257,-36.5027177844325
96,2,-4.34015621146816,-35.1410426555394
97,2,-8.16436000121084,-33.6653461038145
98,2,-10.0767778404464,-32.8530238495275
99,2,-11.9792230934156,-31.9752972248347
100,2,-13.8428086034457,-31.0410375539532
101,2,-15.6623928384561,-30.0682796038662
102,2,-19.1958077261686,-28.0638760232219
103,2,-20.9238240938196,-27.0586776214187
104,2,-22.6524765196268,-26.0537507263292
105,2,-24.4077080359509,-25.0144494209715
106,2,-27.9360780875981,-22.7317004681533
107,2,-29.6698538901663,-21.4381474644069
108,2,-32.9453564203185,-18.4316844689044
109,2,-34.4107565227371,-16.6961594315364
110,2,-35.7065080013589,-14.844566590386
111,2,-36.8313109009813,-12.8998963192641
112,2,-37.7878917266941,-10.8820330087871
113,2,-38.5811746376266,-8.808929921604
114,2,-39.2178699842561,-6.69652639898087
115,2,-40.3011807339499,-0.309611756649864
116,2,-40.4533406202231,1.78890139416343
117,2,-40.5382789183978,3.86217286202336
118,2,-40.5775538214583,5.90777727960811
119,2,-40.5919497511314,7.92466131148779
120,2,-40.6014196538181,9.91275631233656
121,2,-40.6457557289961,13.8810850824754
122,2,-40.674533449872,15.8753221224371
123,2,-40.7017394704418,17.8763494567535
124,2,-40.7332264185658,21.898935793423
125,2,-40.7282871101318,23.9204396925825
126,2,-40.7033369152928,25.948560300907
127,2,-40.429160406945,30.2970202551981
